City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
Palma de Maiorca,Espanha,880,61.04,Várias companhias aéreas,PMI,2023-06-12,2023-06-17,http://kayak.com/flights/OPO-PMI/2023-06-12/2023-06-17/
Paris,França,130,50.87,Ryanair,PAR,2023-06-01,2023-06-05,http://kayak.com/flights/OPO-PAR/2023-06-01/2023-06-05/
Pisa,Itália,1395,158.15,KLM,PSA,2023-06-13,2023-06-17,http://kayak.com/flights/OPO-PSA/2023-06-13/2023-06-17/
Ponta Delgada,Portugal,690,77.69,Várias companhias aéreas,PDL,2023-06-14,2023-06-21,http://kayak.com/flights/OPO-PDL/2023-06-14/2023-06-21/
Porto Santo,Portugal,125,91.56,easyJet,PXO,2023-06-22,2023-06-29,http://kayak.com/flights/OPO-PXO/2023-06-22/2023-06-29/
Praga,República Checa,1355,125.78,TAP AIR PORTUGAL,PRG,2023-06-05,2023-06-09,http://kayak.com/flights/OPO-PRG/2023-06-05/2023-06-09/
Puerto del Rosario,Espanha,730,166.47,Várias companhias aéreas,FUE,2023-06-16,2023-06-23,http://kayak.com/flights/OPO-FUE/2023-06-16/2023-06-23/
Punta Cana,República Dominicana,2125,853.62,Várias companhias aéreas,PUJ,2023-06-01,2023-06-08,http://kayak.com/flights/OPO-PUJ/2023-06-01/2023-06-08/
Quichinau,Moldávia,650,182.2,Várias companhias aéreas,KIV,2023-06-02,2023-06-09,http://kayak.com/flights/OPO-KIV/2023-06-02/2023-06-09/
Reus,Espanha,580,557.68,Várias companhias aéreas,REU,2023-06-03,2023-06-10,http://kayak.com/flights/OPO-REU/2023-06-03/2023-06-10/
Rio de Janeiro,Brasil,1750,981.25,LATAM Airlines,RIO,2023-06-12,2023-06-18,http://kayak.com/flights/OPO-RIO/2023-06-12/2023-06-18/
Roma,Itália,180,110.06,Ryanair,ROM,2023-06-01,2023-06-08,http://kayak.com/flights/OPO-ROM/2023-06-01/2023-06-08/
Salvador,Brasil,1060,627.96,Air Europa,SSA,2023-06-03,2023-06-10,http://kayak.com/flights/OPO-SSA/2023-06-03/2023-06-10/
San José,Costa Rica,1930,1207.83,United Airlines,SJO,2023-06-16,2023-06-23,http://kayak.com/flights/OPO-SJO/2023-06-16/2023-06-23/
Santa Cruz da Graciosa,Portugal,1280,175.72,Várias companhias aéreas,GRW,2023-06-14,2023-06-21,http://kayak.com/flights/OPO-GRW/2023-06-14/2023-06-21/
Santa Cruz de Tenerife,Espanha,1055,191.44,Várias companhias aéreas,TCI,2023-06-18,2023-06-25,http://kayak.com/flights/OPO-TCI/2023-06-18/2023-06-25/
Santander,Espanha,425,134.11,Iberia,SDR,2023-06-21,2023-06-25,http://kayak.com/flights/OPO-SDR/2023-06-21/2023-06-25/
Santiago de Compostela,Espanha,700,135.03,Iberia,SCQ,2023-06-01,2023-06-07,http://kayak.com/flights/OPO-SCQ/2023-06-01/2023-06-07/
Sevilha,Espanha,75,82.31,Ryanair,SVQ,2023-06-17,2023-06-24,http://kayak.com/flights/OPO-SVQ/2023-06-17/2023-06-24/
Sharm El Sheikh,Egito,660,447.62,Várias companhias aéreas,SSH,2023-06-03,2023-06-10,http://kayak.com/flights/OPO-SSH/2023-06-03/2023-06-10/
Sitia,Grécia,730,297.8,Várias companhias aéreas,JSH,2023-06-03,2023-06-10,http://kayak.com/flights/OPO-JSH/2023-06-03/2023-06-10/
Split,Croácia,670,146.13,easyJet,SPU,2023-06-24,2023-06-28,http://kayak.com/flights/OPO-SPU/2023-06-24/2023-06-28/
