City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Kahramanmaras,Turquia,1095,351.92,Turkish Airlines,KCM,2023-05-17,2023-05-21,http://kayak.com/flights/MXP-KCM/2023-05-17/2023-05-21/,351.92,1.0,2023,5,MXP,352.29,392.79,390.08,2023-04-27 02:34:11,True,-0.37000000000000455,-0.10502710834823711,Wednesday,Sunday,4 days
Calecute,Índia,2675,722.88,Várias companhias aéreas,CCJ,2023-04-27,2023-05-04,http://kayak.com/flights/MXP-CCJ/2023-04-27/2023-05-04/,722.88,1.0,2023,4,MXP,723.64,723.64,723.64,2023-04-27 02:34:11,True,-0.7599999999999909,-0.10502459786634112,Thursday,Thursday,7 days
State College,Estados Unidos,2412,618.58,Várias companhias aéreas,SCE,2023-05-10,2023-05-14,http://kayak.com/flights/MXP-SCE/2023-05-10/2023-05-14/,618.58,1.0,2023,5,MXP,619.23,619.23,619.23,2023-04-27 02:34:11,True,-0.6499999999999773,-0.10496907449574104,Wednesday,Sunday,4 days
Burlington,Estados Unidos,1259,618.58,Várias companhias aéreas,BTV,2023-05-06,2023-05-11,http://kayak.com/flights/MXP-BTV/2023-05-06/2023-05-11/,618.58,1.0,2023,5,MXP,619.23,1916.1490909090908,768.53,2023-04-27 02:34:11,True,-0.6499999999999773,-0.10496907449574104,Saturday,Thursday,5 days
Simpson Bay,São Martinho (Sint Maarten),2631,942.38,Delta,SXM,2023-10-28,2023-11-04,http://kayak.com/flights/MXP-SXM/2023-10-28/2023-11-04/,942.38,1.0,2023,10,MXP,943.37,943.37,943.37,2023-04-27 02:34:11,True,-0.9900000000000091,-0.10494291741310505,Saturday,Saturday,7 days
Kano,Nigéria,1740,1361.41,Várias companhias aéreas,KAN,2023-04-27,2023-05-04,http://kayak.com/flights/MXP-KAN/2023-04-27/2023-05-04/,1361.41,1.0,2023,4,MXP,1362.84,1362.84,1362.84,2023-04-27 02:34:11,True,-1.4299999999998363,-0.10492794458629305,Thursday,Thursday,7 days
Rio de Janeiro,Brasil,1065,533.32,TAP AIR PORTUGAL,RIO,2024-03-17,2024-03-23,http://kayak.com/flights/MXP-RIO/2024-03-17/2024-03-23/,533.32,1.0,2024,3,MXP,533.88,533.88,533.88,2023-04-27 02:34:11,True,-0.5599999999999454,-0.10489248520265705,Sunday,Saturday,6 days
Astúrias,Espanha,895,152.38,Vueling,OVD,2023-09-14,2023-09-18,http://kayak.com/flights/MXP-OVD/2023-09-14/2023-09-18/,152.38,1.0,2023,9,MXP,152.54,164.0388888888889,169.17,2023-04-27 02:34:11,True,-0.1599999999999966,-0.10489052051920583,Thursday,Monday,4 days
Scarborough,Trinidad e Tobago,2080,1648.02,Várias companhias aéreas,TAB,2024-02-10,2024-02-17,http://kayak.com/flights/MXP-TAB/2024-02-10/2024-02-17/,1648.02,1.0,2024,2,MXP,1649.75,1649.75,1649.75,2023-04-27 02:34:11,True,-1.7300000000000182,-0.10486437338990866,Saturday,Saturday,7 days
Kuantan,Malásia,2375,981.38,Várias companhias aéreas,KUA,2023-07-19,2023-07-26,http://kayak.com/flights/MXP-KUA/2023-07-19/2023-07-26/,981.38,1.0,2023,7,MXP,982.41,982.41,982.41,2023-04-27 02:34:11,True,-1.0299999999999727,-0.10484420964770032,Wednesday,Wednesday,7 days
Salt Lake City,Estados Unidos,2072,981.38,United Airlines,SLC,2023-12-21,2023-12-28,http://kayak.com/flights/MXP-SLC/2023-12-21/2023-12-28/,981.38,1.0,2023,12,MXP,982.41,982.41,982.41,2023-04-27 02:34:11,True,-1.0299999999999727,-0.10484420964770032,Thursday,Thursday,7 days
