City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Tours,França,870,183.38,Várias companhias aéreas,TUF,2023-05-08,2023-05-15,http://kayak.com/flights/OPO-TUF/2023-05-08/2023-05-15/,183.38,1.0
Cascavel,Brasil,1825,1427.59,Várias companhias aéreas,CAC,2023-05-06,2023-05-13,http://kayak.com/flights/OPO-CAC/2023-05-06/2023-05-13/,1427.59,1.0
Naxos,Grécia,1295,433.69,Várias companhias aéreas,JNX,2023-09-06,2023-09-13,http://kayak.com/flights/OPO-JNX/2023-09-06/2023-09-13/,433.69,1.0
Enfidha,Tunísia,1430,277.82,Várias companhias aéreas,NBE,2023-05-30,2023-06-03,http://kayak.com/flights/OPO-NBE/2023-05-30/2023-06-03/,277.82,1.0
Springfield,Estados Unidos,1629,778.44,Várias companhias aéreas,SFY,2023-05-09,2023-05-15,http://kayak.com/flights/OPO-SFY/2023-05-09/2023-05-15/,778.44,1.0
Ostrava,República Checa,1855,263.15,Várias companhias aéreas,OSR,2023-05-09,2023-05-16,http://kayak.com/flights/OPO-OSR/2023-05-09/2023-05-16/,263.15,1.0
Castletown,Ilha de Man,1500,242.98,Várias companhias aéreas,IOM,2023-07-05,2023-07-12,http://kayak.com/flights/OPO-IOM/2023-07-05/2023-07-12/,242.98,1.0
Gibraltar,Gibraltar,1625,372.26,British Airways,GIB,2023-11-08,2023-11-15,http://kayak.com/flights/OPO-GIB/2023-11-08/2023-11-15/,372.26,1.0
Samarcanda,Uzbequistão,1580,740.84,Várias companhias aéreas,SKD,2023-05-09,2023-05-16,http://kayak.com/flights/OPO-SKD/2023-05-09/2023-05-16/,740.84,1.0
Régio da Calábria,Itália,2130,614.31,KLM,REG,2023-05-08,2023-05-15,http://kayak.com/flights/OPO-REG/2023-05-08/2023-05-15/,614.31,1.0
Carcassonne,França,105,114.61,Ryanair,CCF,2023-05-10,2023-05-17,http://kayak.com/flights/OPO-CCF/2023-05-10/2023-05-17/,114.61,1.0
Nimes,França,865,109.11,Ryanair,FNI,2023-04-20,2023-04-24,http://kayak.com/flights/OPO-FNI/2023-04-20/2023-04-24/,109.11,1.0
Nevşehir,Turquia,1255,552.88,Turkish Airlines,NAV,2023-05-10,2023-05-17,http://kayak.com/flights/OPO-NAV/2023-05-10/2023-05-17/,552.88,1.0
Caiena,Guiana Francesa,880,1111.26,Várias companhias aéreas,CAY,2023-12-27,2024-01-02,http://kayak.com/flights/OPO-CAY/2023-12-27/2024-01-02/,1111.26,1.0
Ilhéus,Brasil,2695,2114.33,Várias companhias aéreas,IOS,2023-04-10,2023-04-15,http://kayak.com/flights/OPO-IOS/2023-04-10/2023-04-15/,2114.33,1.0
Lampedusa,Itália,1495,337.42,Várias companhias aéreas,LMP,2023-06-22,2023-06-28,http://kayak.com/flights/OPO-LMP/2023-06-22/2023-06-28/,337.42,1.0
