City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Palanga,Lituânia,3005,241.82,Várias companhias aéreas,PLQ,2023-04-17,2023-04-24,http://kayak.com/flights/LIS-PLQ/2023-04-17/2023-04-24/,241.82,1.0,2023,4,LIS,241.86,435.3908333333333,472.93,2023-03-20 02:41:09,True,-0.040000000000020464,-0.01653849334326489
Puerto del Rosario,Espanha,640,120.91,Várias companhias aéreas,FUE,2023-10-11,2023-10-18,http://kayak.com/flights/LIS-FUE/2023-10-11/2023-10-18/,120.91,1.0,2023,10,LIS,120.93,158.36714285714288,172.99,2023-03-20 02:41:09,True,-0.020000000000010232,-0.01653849334326489
Addis Abeba,Etiópia,1935,969.13,Várias companhias aéreas,ADD,2023-04-01,2023-04-08,http://kayak.com/flights/LIS-ADD/2023-04-01/2023-04-08/,969.13,1.0,2023,4,LIS,969.29,1172.8728571428571,1206.0549999999998,2023-03-20 02:41:09,True,-0.15999999999996817,-0.016506927751237317
Cataratas Vitória,Zimbábue,1530,1030.05,Ethiopian Air,VFA,2023-10-19,2023-10-26,http://kayak.com/flights/LIS-VFA/2023-10-19/2023-10-26/,1030.05,1.0,2023,10,LIS,1030.22,1030.22,1030.22,2023-03-20 02:41:09,True,-0.17000000000007276,-0.0165013298130567
Grimsby,Reino Unido,1000,303.68,KLM,HUY,2023-07-15,2023-07-19,http://kayak.com/flights/LIS-HUY/2023-07-15/2023-07-19/,303.68,1.0,2023,7,LIS,303.73,303.73,303.73,2023-03-20 02:41:09,True,-0.05000000000001137,-0.016461989266786742
Raleigh,Estados Unidos,1042,668.27,British Airways,RDU,2023-04-18,2023-04-25,http://kayak.com/flights/LIS-RDU/2023-04-18/2023-04-25/,668.27,1.0,2023,4,LIS,668.38,1193.6482608695653,812.49,2023-03-20 02:41:09,True,-0.11000000000001364,-0.016457703701489218
Kota Kinabalu,Malásia,2415,1338.41,Várias companhias aéreas,BKI,2023-08-24,2023-08-28,http://kayak.com/flights/LIS-BKI/2023-08-24/2023-08-28/,1338.41,1.0,2023,8,LIS,1338.63,1338.63,1338.63,2023-03-20 02:41:09,True,-0.22000000000002728,-0.01643471310220354
Kailua-Kona,Estados Unidos,1835,851.97,Várias companhias aéreas,KOA,2023-12-08,2023-12-12,http://kayak.com/flights/LIS-KOA/2023-12-08/2023-12-12/,851.97,1.0,2023,12,LIS,852.11,1229.6314285714286,1292.535,2023-03-20 02:41:09,True,-0.13999999999998636,-0.016429803663844614
Gdansk,Polónia,1455,182.77,Ryanair,GDN,2023-10-04,2023-10-08,http://kayak.com/flights/LIS-GDN/2023-10-04/2023-10-08/,182.77,1.0,2023,10,LIS,182.8,182.8,182.8,2023-03-20 02:41:09,True,-0.030000000000001137,-0.016411378555799307
Praga,República Checa,400,121.85,easyJet,PRG,2023-09-29,2023-10-03,http://kayak.com/flights/LIS-PRG/2023-09-29/2023-10-03/,121.85,1.0,2023,9,LIS,121.87,137.40375,129.77,2023-03-20 02:41:09,True,-0.020000000000010232,-0.01641092967917472
Oulu,Finlândia,645,549.24,Várias companhias aéreas,OUL,2023-05-22,2023-05-26,http://kayak.com/flights/LIS-OUL/2023-05-22/2023-05-26/,549.24,1.0,2023,5,LIS,549.33,549.33,549.33,2023-03-20 02:41:09,True,-0.09000000000003183,-0.0163835945606524
Halifax,Canadá,2690,488.32,Várias companhias aéreas,YHZ,2023-09-11,2023-09-17,http://kayak.com/flights/LIS-YHZ/2023-09-11/2023-09-17/,488.32,1.0,2023,9,LIS,488.4,498.8315384615384,501.0,2023-03-20 02:41:09,True,-0.07999999999998408,-0.016380016380013122
Mascate,Omã,1035,732.94,Turkish Airlines,MCT,2023-07-17,2023-07-23,http://kayak.com/flights/LIS-MCT/2023-07-17/2023-07-23/,732.94,1.0,2023,7,LIS,733.06,733.06,733.06,2023-03-20 02:41:09,True,-0.11999999999989086,-0.016369737811351166
Dalaman,Turquia,1785,244.63,Várias companhias aéreas,DLM,2023-04-18,2023-04-25,http://kayak.com/flights/LIS-DLM/2023-04-18/2023-04-25/,244.63,1.0,2023,4,LIS,244.67,244.67,244.67,2023-03-20 02:41:09,True,-0.03999999999999204,-0.016348551109654653
Tacloban City,Filipinas,2460,1653.33,Várias companhias aéreas,TAC,2023-11-07,2023-11-14,http://kayak.com/flights/LIS-TAC/2023-11-07/2023-11-14/,1653.33,1.0,2023,11,LIS,1653.6,1653.6,1653.6,2023-03-20 02:41:09,True,-0.2699999999999818,-0.01632801161102938
Sydney,Austrália,2845,1225.94,Iberia,SYD,2023-04-18,2023-04-25,http://kayak.com/flights/LIS-SYD/2023-04-18/2023-04-25/,1225.94,1.0,2023,4,LIS,1226.14,1858.4334615384614,2115.105,2023-03-20 02:41:09,True,-0.20000000000004547,-0.01631135106921277
Manágua,Nicarágua,1291,1533.36,Várias companhias aéreas,MGA,2023-10-18,2023-10-25,http://kayak.com/flights/LIS-MGA/2023-10-18/2023-10-25/,1533.36,1.0,2023,10,LIS,1533.61,1533.61,1533.61,2023-03-20 02:41:09,True,-0.25,-0.01630140648535156
Cuzco,Perú,2220,859.47,LATAM Airlines,CUZ,2023-10-28,2023-11-04,http://kayak.com/flights/LIS-CUZ/2023-10-28/2023-11-04/,859.47,1.0,2023,10,LIS,859.61,859.61,859.61,2023-03-20 02:41:09,True,-0.13999999999998636,-0.016286455485625614
Stavanger,Noruega,735,368.35,KLM,SVG,2023-08-05,2023-08-11,http://kayak.com/flights/LIS-SVG/2023-08-05/2023-08-11/,368.35,1.0,2023,8,LIS,368.41,411.4127272727273,421.25,2023-03-20 02:41:09,True,-0.060000000000002274,-0.016286202871801055
Pescara,Itália,940,122.79,Ryanair,PSR,2023-06-08,2023-06-12,http://kayak.com/flights/LIS-PSR/2023-06-08/2023-06-12/,122.79,1.0,2023,6,LIS,122.81,283.0028571428571,347.23,2023-03-20 02:41:09,True,-0.01999999999999602,-0.016285318785111975
Campeche,México,1882,1044.11,Aeromexico,CPE,2023-03-20,2023-03-27,http://kayak.com/flights/LIS-CPE/2023-03-20/2023-03-27/,1044.11,1.0,2023,3,LIS,1044.28,1044.28,1044.28,2023-03-20 02:41:09,True,-0.17000000000007276,-0.016279158846293405
Honolulu,Estados Unidos,2264,860.41,Várias companhias aéreas,HNL,2023-12-08,2023-12-12,http://kayak.com/flights/LIS-HNL/2023-12-08/2023-12-12/,860.41,1.0,2023,12,LIS,860.55,916.3114285714286,880.63,2023-03-20 02:41:09,True,-0.13999999999998636,-0.0162686653884128
Hamilton,Bermudas,3341,1045.05,Delta,BDA,2023-04-17,2023-04-24,http://kayak.com/flights/LIS-BDA/2023-04-17/2023-04-24/,1045.05,1.0,2023,4,LIS,1045.22,1091.01,1111.53,2023-03-20 02:41:09,True,-0.17000000000007276,-0.016264518474586476
Manila,Filipinas,1405,863.22,Várias companhias aéreas,MNL,2024-02-20,2024-02-27,http://kayak.com/flights/LIS-MNL/2024-02-20/2024-02-27/,863.22,1.0,2024,2,LIS,863.36,863.36,863.36,2023-03-20 02:41:09,True,-0.13999999999998636,-0.016215715344698196
Entebbe,Uganda,1915,1358.09,Qatar Airways,EBB,2023-07-23,2023-07-29,http://kayak.com/flights/LIS-EBB/2023-07-23/2023-07-29/,1358.09,1.0,2023,7,LIS,1358.31,1358.31,1358.31,2023-03-20 02:41:09,True,-0.22000000000002728,-0.016196597242163227
Dammam,Arábia Saudita,1670,494.88,Várias companhias aéreas,DMM,2023-07-25,2023-07-30,http://kayak.com/flights/LIS-DMM/2023-07-25/2023-07-30/,494.88,1.0,2023,7,LIS,494.96,494.96,494.96,2023-03-20 02:41:09,True,-0.07999999999998408,-0.01616292225634073
Lampang,Tailândia,3315,990.69,Várias companhias aéreas,LPT,2023-09-06,2023-09-13,http://kayak.com/flights/LIS-LPT/2023-09-06/2023-09-13/,990.69,1.0,2023,9,LIS,990.85,990.85,990.85,2023-03-20 02:41:09,True,-0.15999999999996817,-0.01614775193015776
São José do Rio Preto,Brasil,1890,1117.22,LATAM Airlines,SJP,2023-04-17,2023-04-24,http://kayak.com/flights/LIS-SJP/2023-04-17/2023-04-24/,1117.22,1.0,2023,4,LIS,1117.4,1117.4,1117.4,2023-03-20 02:41:09,True,-0.18000000000006366,-0.01610882405584962
Pointe-Noire,República do Congo,1650,1055.36,Ethiopian Air,PNR,2023-05-11,2023-05-18,http://kayak.com/flights/LIS-PNR/2023-05-11/2023-05-18/,1055.36,1.0,2023,5,LIS,1055.53,1055.53,1055.53,2023-03-20 02:41:09,True,-0.17000000000007276,-0.01610565308423946
Windhoek,Namíbia,995,684.2,TAAG,WDH,2024-02-10,2024-02-17,http://kayak.com/flights/LIS-WDH/2024-02-10/2024-02-17/,684.2,1.0,2024,2,LIS,684.31,684.31,684.31,2023-03-20 02:41:09,True,-0.10999999999989996,-0.016074586079393837
Wadi Ad Dawasir,Arábia Saudita,1625,3547.53,Várias companhias aéreas,WAE,2023-04-18,2023-04-25,http://kayak.com/flights/LIS-WAE/2023-04-18/2023-04-25/,3547.53,1.0,2023,4,LIS,3548.1,3548.1,3548.1,2023-03-20 02:41:09,True,-0.569999999999709,-0.016064936163008622
Wenzhou,China,2315,5291.77,Várias companhias aéreas,WNZ,2023-04-17,2023-04-24,http://kayak.com/flights/LIS-WNZ/2023-04-17/2023-04-24/,5291.77,1.0,2023,4,LIS,5292.62,5292.62,5292.62,2023-03-20 02:41:09,True,-0.8499999999994543,-0.016060098779044296
Lampedusa,Itália,430,435.83,easyJet,LMP,2023-09-18,2023-09-24,http://kayak.com/flights/LIS-LMP/2023-09-18/2023-09-24/,435.83,1.0,2023,9,LIS,435.9,557.746,588.15,2023-03-20 02:41:09,True,-0.06999999999999318,-0.016058729066298044
Wellington,Nova Zelândia,2355,1867.96,British Airways,WLG,2023-09-11,2023-09-18,http://kayak.com/flights/LIS-WLG/2023-09-11/2023-09-18/,1867.96,1.0,2023,9,LIS,1868.26,1868.26,1868.26,2023-03-20 02:41:09,True,-0.2999999999999545,-0.016057722158583632
São Diego,Estados Unidos,1973,809.8,Air Canada,SAN,2023-06-12,2023-06-19,http://kayak.com/flights/LIS-SAN/2023-06-12/2023-06-19/,809.8,1.0,2023,6,LIS,809.93,809.93,809.93,2023-03-20 02:41:09,True,-0.12999999999999545,-0.01605076981961348
Cuiabá,Brasil,2005,872.59,LATAM Airlines,CGB,2023-11-10,2023-11-17,http://kayak.com/flights/LIS-CGB/2023-11-10/2023-11-17/,872.59,1.0,2023,11,LIS,872.73,872.73,872.73,2023-03-20 02:41:09,True,-0.13999999999998636,-0.016041616536613425
Abu Dhabi,Emirados Árabes Unidos,1575,249.32,Várias companhias aéreas,AUH,2023-12-02,2023-12-09,http://kayak.com/flights/LIS-AUH/2023-12-02/2023-12-09/,249.32,1.0,2023,12,LIS,249.36,285.3933333333334,249.36,2023-03-20 02:41:09,True,-0.040000000000020464,-0.016041065126732618
San Cristobal,Equador,1934,3366.64,Várias companhias aéreas,SCY,2023-04-17,2023-04-23,http://kayak.com/flights/LIS-SCY/2023-04-17/2023-04-23/,3366.64,1.0,2023,4,LIS,3367.18,3378.904,3386.72,2023-03-20 02:41:09,True,-0.5399999999999636,-0.01603715869065401
Darwin,Austrália,3540,2619.65,Várias companhias aéreas,DRW,2023-06-08,2023-06-15,http://kayak.com/flights/LIS-DRW/2023-06-08/2023-06-15/,2619.65,1.0,2023,6,LIS,2620.07,2620.07,2620.07,2023-03-20 02:41:09,True,-0.42000000000007276,-0.016030106065871245
