City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
Stavanger,Noruega,575,277.45,Várias companhias aéreas,SVG,2023-06-19,2023-06-23,http://kayak.com/flights/MXP-SVG/2023-06-19/2023-06-23/
Sydney,Austrália,2400,1252.22,American Airlines,SYD,2023-06-19,2023-06-26,http://kayak.com/flights/MXP-SYD/2023-06-19/2023-06-26/
São Francisco,Estados Unidos,860,593.75,Lufthansa,SFO,2023-06-04,2023-06-11,http://kayak.com/flights/MXP-SFO/2023-06-04/2023-06-11/
São Paulo,Brasil,700,3375.63,LATAM Airlines,SAO,2023-06-05,2023-06-12,http://kayak.com/flights/MXP-SAO/2023-06-05/2023-06-12/
São Pedro,Cabo Verde,1040,866.57,Várias companhias aéreas,VXE,2023-06-23,2023-06-30,http://kayak.com/flights/MXP-VXE/2023-06-23/2023-06-30/
Sørvágur,Ilhas Faroe,1385,439.3,Air France,FAE,2023-06-06,2023-06-13,http://kayak.com/flights/MXP-FAE/2023-06-06/2023-06-13/
Tbilisi,Geórgia,440,258.03,Aegean Airlines,TBS,2023-06-02,2023-06-08,http://kayak.com/flights/MXP-TBS/2023-06-02/2023-06-08/
Telavive,Israel,250,161.85,easyJet,TLV,2023-06-01,2023-06-06,http://kayak.com/flights/MXP-TLV/2023-06-01/2023-06-06/
Thera,Grécia,165,114.68,Várias companhias aéreas,JTR,2023-06-05,2023-06-10,http://kayak.com/flights/MXP-JTR/2023-06-05/2023-06-10/
Tirana,Albânia,115,127.63,Várias companhias aéreas,TIA,2023-06-15,2023-06-19,http://kayak.com/flights/MXP-TIA/2023-06-15/2023-06-19/
Tivat,Montenegro,1065,212.72,Air Serbia,TIV,2023-06-01,2023-06-06,http://kayak.com/flights/MXP-TIV/2023-06-01/2023-06-06/
Toulouse,França,390,141.5,Iberia,TLS,2023-06-13,2023-06-20,http://kayak.com/flights/MXP-TLS/2023-06-13/2023-06-20/
Trapani,Itália,665,188.67,Várias companhias aéreas,TPS,2023-06-24,2023-06-30,http://kayak.com/flights/MXP-TPS/2023-06-24/2023-06-30/
Tromsø,Noruega,545,302.42,Várias companhias aéreas,TOS,2023-06-15,2023-06-21,http://kayak.com/flights/MXP-TOS/2023-06-15/2023-06-21/
Tóquio,Japão,1310,919.29,Etihad Airways,NRT,2023-06-06,2023-06-11,http://kayak.com/flights/MXP-NRT/2023-06-06/2023-06-11/
Túnis,Tunísia,445,358.84,Várias companhias aéreas,TUN,2023-06-01,2023-06-07,http://kayak.com/flights/MXP-TUN/2023-06-01/2023-06-07/
Umeå,Suécia,1095,410.63,Scandinavian Airlines,UME,2023-06-10,2023-06-17,http://kayak.com/flights/MXP-UME/2023-06-10/2023-06-17/
Vaitape,Polinésia Francesa,2865,2629.3,Várias companhias aéreas,BOB,2023-06-17,2023-06-24,http://kayak.com/flights/MXP-BOB/2023-06-17/2023-06-24/
Valência,Espanha,120,50.87,Ryanair,VLC,2023-06-12,2023-06-17,http://kayak.com/flights/MXP-VLC/2023-06-12/2023-06-17/
Verona,Itália,655,138.73,Ryanair,VRN,2023-06-10,2023-06-16,http://kayak.com/flights/MXP-VRN/2023-06-10/2023-06-16/
Victoria,Seicheles,845,585.42,Ethiopian Air,SEZ,2023-06-03,2023-06-10,http://kayak.com/flights/MXP-SEZ/2023-06-03/2023-06-10/
Viena,Áustria,85,165.55,Austrian Airlines,VIE,2023-06-01,2023-06-08,http://kayak.com/flights/MXP-VIE/2023-06-01/2023-06-08/
Vigo,Espanha,385,169.25,Iberia,VGO,2023-06-18,2023-06-25,http://kayak.com/flights/MXP-VGO/2023-06-18/2023-06-25/
"Washington, D.C.",Estados Unidos,995,704.73,ITA Airways,WAS,2023-06-10,2023-06-17,http://kayak.com/flights/MXP-WAS/2023-06-10/2023-06-17/
West Palm Beach,Estados Unidos,1147,754.67,Várias companhias aéreas,PBI,2023-06-11,2023-06-18,http://kayak.com/flights/MXP-PBI/2023-06-11/2023-06-18/
Zadar,Croácia,500,285.78,Austrian Airlines,ZAD,2023-06-23,2023-06-29,http://kayak.com/flights/MXP-ZAD/2023-06-23/2023-06-29/
Zanzibar,Tanzânia,885,547.5,Oman Air,ZNZ,2023-06-14,2023-06-21,http://kayak.com/flights/MXP-ZNZ/2023-06-14/2023-06-21/
Zaquinto,Grécia,730,145.2,Ryanair,ZTH,2023-06-16,2023-06-23,http://kayak.com/flights/MXP-ZTH/2023-06-16/2023-06-23/
