City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Erfurt,Alemanha,1180,498.74,Várias companhias aéreas,ERF,2023-06-19,2023-06-26,http://kayak.com/flights/MAD-ERF/2023-06-19/2023-06-26/,498.74,1,2023,6,MAD,499.38,520.2190909090909,527.5,2023-05-21 09:18:27,True,-0.6399999999999864,-0.12815891705714813,Monday,Monday,7 days
Puerto Montt,Chile,1336,1106.66,Várias companhias aéreas,PMC,2024-03-30,2024-04-06,http://kayak.com/flights/MAD-PMC/2024-03-30/2024-04-06/,1106.66,1,2024,3,MAD,1108.08,1108.08,1108.08,2023-05-21 09:18:27,True,-1.4199999999998454,-0.12814959208719998,Saturday,Saturday,7 days
Târgu Mureş,Roménia,2875,257.24,Várias companhias aéreas,TGM,2023-08-17,2023-08-23,http://kayak.com/flights/MAD-TGM/2023-08-17/2023-08-23/,257.24,1,2023,8,MAD,257.57,374.1086046511628,377.32,2023-05-21 09:18:27,True,-0.3299999999999841,-0.12812051092906165,Thursday,Wednesday,6 days
Navegantes,Brasil,1005,1201.04,LATAM Airlines,NVT,2023-07-27,2023-07-31,http://kayak.com/flights/MAD-NVT/2023-07-27/2023-07-31/,1201.04,1,2023,7,MAD,1202.58,1202.58,1202.58,2023-05-21 09:18:27,True,-1.5399999999999636,-0.12805800861480846,Thursday,Monday,4 days
Lomé,Togo,1385,616.25,Várias companhias aéreas,LFW,2024-02-03,2024-02-09,http://kayak.com/flights/MAD-LFW/2024-02-03/2024-02-09/,616.25,1,2024,2,MAD,617.04,617.04,617.04,2023-05-21 09:18:27,True,-0.7899999999999636,-0.12803059769220207,Saturday,Friday,6 days
Mérida,México,2101,1006.73,Várias companhias aéreas,MID,2023-12-11,2023-12-18,http://kayak.com/flights/MAD-MID/2023-12-11/2023-12-18/,1006.73,1,2023,12,MAD,1008.02,1008.02,1008.02,2023-05-21 09:18:27,True,-1.2899999999999636,-0.1279736513164385,Monday,Monday,7 days
Constantine,Argélia,1505,359.02,Várias companhias aéreas,CZL,2023-09-30,2023-10-07,http://kayak.com/flights/MAD-CZL/2023-09-30/2023-10-07/,359.02,1,2023,9,MAD,359.48,359.48,359.48,2023-05-21 09:18:27,True,-0.4600000000000364,-0.12796261266274517,Saturday,Saturday,7 days
Rayong,Tailândia,2665,835.55,Emirates,UTP,2024-01-16,2024-01-23,http://kayak.com/flights/MAD-UTP/2024-01-16/2024-01-23/,835.55,1,2024,1,MAD,836.62,836.62,836.62,2023-05-21 09:18:27,True,-1.07000000000005,-0.1278955798331441,Tuesday,Tuesday,7 days
Lamezia Terme,Itália,1680,140.65,Ryanair,SUF,2023-09-16,2023-09-23,http://kayak.com/flights/MAD-SUF/2023-09-16/2023-09-23/,140.65,1,2023,9,MAD,140.83,245.6864285714286,150.58,2023-05-21 09:18:27,True,-0.18000000000000682,-0.1278136760633436,Saturday,Saturday,7 days
Andenes,Noruega,1670,1523.97,Várias companhias aéreas,ANX,2023-06-19,2023-06-26,http://kayak.com/flights/MAD-ANX/2023-06-19/2023-06-26/,1523.97,1,2023,6,MAD,1525.92,1525.92,1525.92,2023-05-21 09:18:27,True,-1.9500000000000455,-0.12779175841459875,Monday,Monday,7 days
Ixtapa,México,1785,906.8,Iberia,ZIH,2023-06-03,2023-06-10,http://kayak.com/flights/MAD-ZIH/2023-06-03/2023-06-10/,906.8,1,2023,6,MAD,907.96,1203.3332500000001,1122.12,2023-05-21 09:18:27,True,-1.1600000000000819,-0.12775893211155578,Saturday,Saturday,7 days
Grande Caimão,Ilhas Cayman,2090,1008.58,Várias companhias aéreas,GCM,2023-07-18,2023-07-25,http://kayak.com/flights/MAD-GCM/2023-07-18/2023-07-25/,1008.58,1,2023,7,MAD,1009.87,1246.5577777777778,1066.34,2023-05-21 09:18:27,True,-1.2899999999999636,-0.12773921395822865,Tuesday,Tuesday,7 days
Tabuk,Arábia Saudita,2700,656.97,Várias companhias aéreas,TUU,2023-10-01,2023-10-08,http://kayak.com/flights/MAD-TUU/2023-10-01/2023-10-08/,656.97,1,2023,10,MAD,657.81,657.81,657.81,2023-05-21 09:18:27,True,-0.8399999999999181,-0.12769644730240012,Sunday,Sunday,7 days
Foz do Iguaçu,Brasil,2715,758.75,LATAM Airlines,IGU,2023-12-03,2023-12-10,http://kayak.com/flights/MAD-IGU/2023-12-03/2023-12-10/,758.75,1,2023,12,MAD,759.72,962.3415384615384,903.73,2023-05-21 09:18:27,True,-0.9700000000000273,-0.1276786184383756,Sunday,Sunday,7 days
Coolangatta,Austrália,2410,1947.76,Várias companhias aéreas,OOL,2023-06-19,2023-06-26,http://kayak.com/flights/MAD-OOL/2023-06-19/2023-06-26/,1947.76,1,2023,6,MAD,1950.25,2154.1951851851854,2021.13,2023-05-21 09:18:27,True,-2.490000000000009,-0.12767593898218224,Monday,Monday,7 days
Letícia,Colômbia,2614,1111.29,Várias companhias aéreas,LET,2023-06-20,2023-06-27,http://kayak.com/flights/MAD-LET/2023-06-20/2023-06-27/,1111.29,1,2023,6,MAD,1112.71,1213.25,1230.37,2023-05-21 09:18:27,True,-1.4200000000000728,-0.12761636005788324,Tuesday,Tuesday,7 days
Nosy Be,Madagáscar,1220,939.18,Várias companhias aéreas,NOS,2023-10-02,2023-10-08,http://kayak.com/flights/MAD-NOS/2023-10-02/2023-10-08/,939.18,1,2023,10,MAD,940.38,1242.290625,1375.26,2023-05-21 09:18:27,True,-1.2000000000000455,-0.12760798826006992,Monday,Sunday,6 days
