City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Panama City,Estados Unidos,2396,533.13,American Airlines,ECP,2023-10-01,2023-10-08,http://kayak.com/flights/LIS-ECP/2023-10-01/2023-10-08/,533.13,1,2023,10,LIS,536.99,536.99,536.99,2023-03-24 20:14:07,True,-3.8600000000000136,-0.7188215795452454,Sunday,Sunday,7 days
Okinawa,Japão,2950,1313.51,Várias companhias aéreas,OKA,2023-05-14,2023-05-20,http://kayak.com/flights/LIS-OKA/2023-05-14/2023-05-20/,1313.51,1,2023,5,LIS,1323.02,1323.02,1323.02,2023-03-24 20:14:07,True,-9.509999999999991,-0.7188099953137511,Sunday,Saturday,6 days
Aalborg,Dinamarca,1580,263.81,Várias companhias aéreas,AAL,2023-04-18,2023-04-25,http://kayak.com/flights/LIS-AAL/2023-04-18/2023-04-25/,263.81,1,2023,4,LIS,265.72,358.2335294117647,420.92,2023-03-24 20:14:07,True,-1.910000000000025,-0.7188017461990158,Tuesday,Tuesday,7 days
Rzeszów,Polónia,1625,244.51,Ryanair,RZE,2023-06-07,2023-06-14,http://kayak.com/flights/LIS-RZE/2023-06-07/2023-06-14/,244.51,1,2023,6,LIS,246.28,248.005,246.28,2023-03-24 20:14:07,True,-1.7700000000000102,-0.7186941692382696,Wednesday,Wednesday,7 days
Samarcanda,Uzbequistão,2415,933.89,Várias companhias aéreas,SKD,2023-04-22,2023-04-29,http://kayak.com/flights/LIS-SKD/2023-04-22/2023-04-29/,933.89,1,2023,4,LIS,940.65,940.65,940.65,2023-03-24 20:14:07,True,-6.759999999999991,-0.7186519959602393,Saturday,Saturday,7 days
Mombaça,Quénia,2365,920.1,Várias companhias aéreas,MBA,2023-04-22,2023-04-29,http://kayak.com/flights/LIS-MBA/2023-04-22/2023-04-29/,920.1,1,2023,4,LIS,926.76,960.3226666666667,937.22,2023-03-24 20:14:07,True,-6.659999999999968,-0.7186326557037387,Saturday,Saturday,7 days
São José do Rio Preto,Brasil,875,911.83,Azul,SJP,2023-10-06,2023-10-10,http://kayak.com/flights/LIS-SJP/2023-10-06/2023-10-10/,911.83,1,2023,10,LIS,918.43,918.43,918.43,2023-03-24 20:14:07,True,-6.599999999999909,-0.7186176409742615,Friday,Tuesday,4 days
Reynosa,México,2356,887.01,Várias companhias aéreas,REX,2023-10-06,2023-10-13,http://kayak.com/flights/LIS-REX/2023-10-06/2023-10-13/,887.01,1,2023,10,LIS,893.43,893.43,893.43,2023-03-24 20:14:07,True,-6.419999999999959,-0.7185789597394266,Friday,Friday,7 days
Surabaia,Indonésia,2825,1540.55,Várias companhias aéreas,SUB,2023-08-09,2023-08-16,http://kayak.com/flights/LIS-SUB/2023-08-09/2023-08-16/,1540.55,1,2023,8,LIS,1551.7,1551.7,1551.7,2023-03-24 20:14:07,True,-11.150000000000091,-0.718566733260301,Wednesday,Wednesday,7 days
Krabi,Tailândia,2395,881.5,Várias companhias aéreas,KBV,2023-10-08,2023-10-14,http://kayak.com/flights/LIS-KBV/2023-10-08/2023-10-14/,881.5,1,2023,10,LIS,887.88,969.6485714285715,887.88,2023-03-24 20:14:07,True,-6.3799999999999955,-0.7185655719241334,Sunday,Saturday,6 days
Fayetteville,Estados Unidos,1107,1296.05,British Airways,XNA,2023-07-02,2023-07-08,http://kayak.com/flights/LIS-XNA/2023-07-02/2023-07-08/,1296.05,1,2023,7,LIS,1305.43,1305.43,1305.43,2023-03-24 20:14:07,True,-9.38000000000011,-0.7185371869805435,Sunday,Saturday,6 days
Limoges,França,1320,214.17,Várias companhias aéreas,LIG,2023-04-23,2023-04-27,http://kayak.com/flights/LIS-LIG/2023-04-23/2023-04-27/,214.17,1,2023,4,LIS,215.72,216.02,215.72,2023-03-24 20:14:07,True,-1.5500000000000114,-0.7185240126089428,Sunday,Thursday,4 days
Vaitape,Polinésia Francesa,2525,2556.24,Várias companhias aéreas,BOB,2024-02-16,2024-02-23,http://kayak.com/flights/LIS-BOB/2024-02-16/2024-02-23/,2556.24,1,2024,2,LIS,2574.74,2574.74,2574.74,2023-03-24 20:14:07,True,-18.5,-0.7185191514483017,Friday,Friday,7 days
Cuzco,Perú,1690,1482.64,Várias companhias aéreas,CUZ,2023-03-29,2023-04-05,http://kayak.com/flights/LIS-CUZ/2023-03-29/2023-04-05/,1482.64,1,2023,3,LIS,1493.37,1493.37,1493.37,2023-03-24 20:14:07,True,-10.72999999999979,-0.7185091437486887,Wednesday,Wednesday,7 days
