City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Bratislava,Eslováquia,795,187.55,Ryanair,BTS,2023-07-10,2023-07-17,http://kayak.com/flights/OPO-BTS/2023-07-10/2023-07-17/,187.55,1.0,2023,7,OPO,188.16,188.16,188.16,2023-03-31 02:35:34,True,-0.6099999999999852,-0.3241921768707405,Monday,Monday,7 days
Kos,Grécia,1305,187.55,Ryanair,KGS,2023-06-07,2023-06-13,http://kayak.com/flights/OPO-KGS/2023-06-07/2023-06-13/,187.55,1.0,2023,6,OPO,188.16,253.86162790697674,231.3,2023-03-31 02:35:34,True,-0.6099999999999852,-0.3241921768707405,Wednesday,Tuesday,6 days
Kiruna,Suécia,1760,455.08,Várias companhias aéreas,KRN,2023-05-03,2023-05-10,http://kayak.com/flights/OPO-KRN/2023-05-03/2023-05-10/,455.08,1.0,2023,5,OPO,456.56,457.1044444444445,457.12,2023-03-31 02:35:34,True,-1.4800000000000182,-0.3241633082179819,Wednesday,Wednesday,7 days
Enfidha,Tunísia,640,178.36,easyJet,NBE,2023-06-10,2023-06-14,http://kayak.com/flights/OPO-NBE/2023-06-10/2023-06-14/,178.36,1.0,2023,6,OPO,178.94,238.26615384615386,264.39,2023-03-31 02:35:34,True,-0.5799999999999841,-0.32413099362914055,Saturday,Wednesday,4 days
Las Vegas,Estados Unidos,1260,695.03,Várias companhias aéreas,LAS,2023-11-07,2023-11-14,http://kayak.com/flights/OPO-LAS/2023-11-07/2023-11-14/,695.03,1.0,2023,11,OPO,697.29,752.1714285714286,702.33,2023-03-31 02:35:34,True,-2.259999999999991,-0.3241119190007014,Tuesday,Tuesday,7 days
Rabate,Marrocos,590,79.99,Várias companhias aéreas,RBA,2023-04-13,2023-04-18,http://kayak.com/flights/OPO-RBA/2023-04-13/2023-04-18/,79.99,1.0,2023,4,OPO,80.25,199.4728205128205,170.05,2023-03-31 02:35:34,True,-0.2600000000000051,-0.32398753894081633,Thursday,Tuesday,5 days
Dakhla,Sara Ocidental,2130,390.73,Várias companhias aéreas,VIL,2023-09-09,2023-09-16,http://kayak.com/flights/OPO-VIL/2023-09-09/2023-09-16/,390.73,1.0,2023,9,OPO,392.0,392.79636363636365,392.48,2023-03-31 02:35:34,True,-1.2699999999999818,-0.32397959183673003,Saturday,Saturday,7 days
Skýros,Grécia,570,372.34,Várias companhias aéreas,SKU,2023-09-08,2023-09-12,http://kayak.com/flights/OPO-SKU/2023-09-08/2023-09-12/,372.34,1.0,2023,9,OPO,373.55,485.5414285714286,375.72,2023-03-31 02:35:34,True,-1.2100000000000364,-0.32391915406238425,Friday,Tuesday,4 days
Long Beach,Estados Unidos,1970,1089.43,KLM,LGB,2023-10-05,2023-10-09,http://kayak.com/flights/OPO-LGB/2023-10-05/2023-10-09/,1089.43,1.0,2023,10,OPO,1092.97,1092.97,1092.97,2023-03-31 02:35:34,True,-3.5399999999999636,-0.323888121357399,Thursday,Monday,4 days
Escíato,Grécia,1225,363.15,Várias companhias aéreas,JSI,2023-06-03,2023-06-09,http://kayak.com/flights/OPO-JSI/2023-06-03/2023-06-09/,363.15,1.0,2023,6,OPO,364.33,364.47666666666663,364.33,2023-03-31 02:35:34,True,-1.1800000000000068,-0.32388219471358576,Saturday,Friday,6 days
