City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Guelmim,Marrocos,405,198.7,Várias companhias aéreas,GLN,2023-05-03,2023-05-10,http://kayak.com/flights/MAD-GLN/2023-05-03/2023-05-10/,198.7,1.0,2023,5,MAD,198.74,198.74,198.74,2023-03-20 02:41:21,True,-0.040000000000020464,-0.020126798832655963
Catânia,Itália,180,49.68,Ryanair,CTA,2023-04-18,2023-04-25,http://kayak.com/flights/MAD-CTA/2023-04-18/2023-04-25/,49.68,1.0,2023,4,MAD,49.69,116.80450980392156,84.57,2023-03-20 02:41:21,True,-0.00999999999999801,-0.020124773596293038
Lampedusa,Itália,1685,150.9,Várias companhias aéreas,LMP,2023-10-15,2023-10-20,http://kayak.com/flights/MAD-LMP/2023-10-15/2023-10-20/,150.9,1.0,2023,10,MAD,150.93,221.30333333333337,150.93,2023-03-20 02:41:21,True,-0.030000000000001137,-0.019876764062811327
Belgrado,Sérvia,965,150.9,Várias companhias aéreas,BEG,2023-06-07,2023-06-14,http://kayak.com/flights/MAD-BEG/2023-06-07/2023-06-14/,150.9,1.0,2023,6,MAD,150.93,180.49733333333333,168.32,2023-03-20 02:41:21,True,-0.030000000000001137,-0.019876764062811327
Brindisi,Itália,185,51.55,Ryanair,BDS,2023-04-20,2023-04-27,http://kayak.com/flights/MAD-BDS/2023-04-20/2023-04-27/,51.55,1.0,2023,4,MAD,51.56,187.0447368421053,145.28,2023-03-20 02:41:21,True,-0.010000000000005116,-0.01939487975175546
Budapeste,Hungria,200,103.1,Ryanair,BUD,2023-10-02,2023-10-06,http://kayak.com/flights/MAD-BUD/2023-10-02/2023-10-06/,103.1,1.0,2023,10,MAD,103.12,110.16600000000001,108.49,2023-03-20 02:41:21,True,-0.020000000000010232,-0.01939487975175546
Luxemburgo,Luxemburgo,150,51.55,Ryanair,LUX,2023-06-30,2023-07-04,http://kayak.com/flights/MAD-LUX/2023-06-30/2023-07-04/,51.55,1.0,2023,6,MAD,51.56,76.93375,73.375,2023-03-20 02:41:21,True,-0.010000000000005116,-0.01939487975175546
Lourdes,França,1135,209.01,Várias companhias aéreas,LDE,2023-09-26,2023-10-02,http://kayak.com/flights/MAD-LDE/2023-09-26/2023-10-02/,209.01,1.0,2023,9,MAD,209.05,209.05,209.05,2023-03-20 02:41:21,True,-0.040000000000020464,-0.01913417842622361
Aalborg,Dinamarca,2650,157.46,Várias companhias aéreas,AAL,2023-04-18,2023-04-25,http://kayak.com/flights/MAD-AAL/2023-04-18/2023-04-25/,157.46,1.0,2023,4,MAD,157.49,370.338064516129,303.57,2023-03-20 02:41:21,True,-0.030000000000001137,-0.019048828497048153
Badajoz,Espanha,65,106.85,Iberia,BJZ,2023-09-01,2023-09-08,http://kayak.com/flights/MAD-BJZ/2023-09-01/2023-09-08/,106.85,1.0,2023,9,MAD,106.87,106.87,106.87,2023-03-20 02:41:21,True,-0.020000000000010232,-0.018714325816422038
Monastir,Tunísia,865,215.57,Várias companhias aéreas,MIR,2023-06-14,2023-06-21,http://kayak.com/flights/MAD-MIR/2023-06-14/2023-06-21/,215.57,1.0,2023,6,MAD,215.61,293.3021739130435,236.94,2023-03-20 02:41:21,True,-0.040000000000020464,-0.018552015212661966
Cork,Irlanda,730,162.15,Ryanair,ORK,2023-08-02,2023-08-09,http://kayak.com/flights/MAD-ORK/2023-08-02/2023-08-09/,162.15,1.0,2023,8,MAD,162.18,174.04999999999998,162.18,2023-03-20 02:41:21,True,-0.030000000000001137,-0.018497965223826077
Zaquinto,Grécia,1170,162.15,Várias companhias aéreas,ZTH,2023-06-08,2023-06-14,http://kayak.com/flights/MAD-ZTH/2023-06-08/2023-06-14/,162.15,1.0,2023,6,MAD,162.18,255.93580000000003,225.35,2023-03-20 02:41:21,True,-0.030000000000001137,-0.018497965223826077
Ordu,Turquia,1490,325.23,Várias companhias aéreas,OGU,2023-05-02,2023-05-09,http://kayak.com/flights/MAD-OGU/2023-05-02/2023-05-09/,325.23,1.0,2023,5,MAD,325.29,325.29,325.29,2023-03-20 02:41:21,True,-0.060000000000002274,-0.018445079774970723
Gaziantep,Turquia,880,325.23,Várias companhias aéreas,GZT,2023-06-03,2023-06-08,http://kayak.com/flights/MAD-GZT/2023-06-03/2023-06-08/,325.23,1.0,2023,6,MAD,325.29,325.29,325.29,2023-03-20 02:41:21,True,-0.060000000000002274,-0.018445079774970723
Kutaisi,Geórgia,350,383.34,Wizz Air,KUT,2023-07-26,2023-08-02,http://kayak.com/flights/MAD-KUT/2023-07-26/2023-08-02/,383.34,1.0,2023,7,MAD,383.41,418.6086666666667,390.26,2023-03-20 02:41:21,True,-0.07000000000005002,-0.01825721812160612
Sønderborg,Dinamarca,835,328.98,Várias companhias aéreas,SGD,2023-06-22,2023-06-28,http://kayak.com/flights/MAD-SGD/2023-06-22/2023-06-28/,328.98,1.0,2023,6,MAD,329.04,329.04,329.04,2023-03-20 02:41:21,True,-0.060000000000002274,-0.01823486506199923
Londres,Reino Unido,150,55.3,Ryanair,LON,2023-06-14,2023-06-20,http://kayak.com/flights/MAD-LON/2023-06-14/2023-06-20/,55.3,1.0,2023,6,MAD,55.31,59.075,58.540000000000006,2023-03-20 02:41:21,True,-0.010000000000005116,-0.01807991321642581
Newark,Estados Unidos,1655,332.73,TAP AIR PORTUGAL,EWR,2024-01-27,2024-02-03,http://kayak.com/flights/MAD-EWR/2024-01-27/2024-02-03/,332.73,1.0,2024,1,MAD,332.79,341.1877777777778,340.01,2023-03-20 02:41:21,True,-0.060000000000002274,-0.0180293879022814
Bacau,Roménia,1260,393.65,Várias companhias aéreas,BCM,2023-08-26,2023-09-02,http://kayak.com/flights/MAD-BCM/2023-08-26/2023-09-02/,393.65,1.0,2023,8,MAD,393.72,395.088,396.0,2023-03-20 02:41:21,True,-0.07000000000005002,-0.01777913237835264
Roterdão,Holanda,1665,171.52,Várias companhias aéreas,RTM,2023-04-04,2023-04-11,http://kayak.com/flights/MAD-RTM/2023-04-04/2023-04-11/,171.52,1.0,2023,4,MAD,171.55,273.9375,251.77499999999998,2023-03-20 02:41:21,True,-0.030000000000001137,-0.01748761294083424
Bodrum,Turquia,1300,287.74,easyJet,BJV,2023-09-07,2023-09-11,http://kayak.com/flights/MAD-BJV/2023-09-07/2023-09-11/,287.74,1.0,2023,9,MAD,287.79,299.96,303.39,2023-03-20 02:41:21,True,-0.05000000000001137,-0.017373779491994635
Alexandria,Egito,855,230.57,Várias companhias aéreas,HBE,2023-06-15,2023-06-22,http://kayak.com/flights/MAD-HBE/2023-06-15/2023-06-22/,230.57,1.0,2023,6,MAD,230.61,339.9144444444444,327.66,2023-03-20 02:41:21,True,-0.040000000000020464,-0.017345301591440293
Espargos,Cabo Verde,1125,403.96,Binter Canarias,SID,2023-12-25,2024-01-01,http://kayak.com/flights/MAD-SID/2023-12-25/2024-01-01/,403.96,1.0,2023,12,MAD,404.03,404.03,404.03,2023-03-20 02:41:21,True,-0.06999999999999318,-0.017325446130236167
Almaty,Cazaquistão,3070,462.07,Várias companhias aéreas,ALA,2023-04-18,2023-04-25,http://kayak.com/flights/MAD-ALA/2023-04-18/2023-04-25/,462.07,1.0,2023,4,MAD,462.15,632.0868965517242,613.1,2023-03-20 02:41:21,True,-0.07999999999998408,-0.017310397057229056
Cidade do México,México,2799,636.4,Várias companhias aéreas,MEX,2023-11-02,2023-11-06,http://kayak.com/flights/MAD-MEX/2023-11-02/2023-11-06/,636.4,1.0,2023,11,MAD,636.51,697.246,693.54,2023-03-20 02:41:21,True,-0.11000000000001364,-0.017281739485634735
São Luís,Brasil,1750,694.51,LATAM Airlines,SLZ,2023-09-11,2023-09-18,http://kayak.com/flights/MAD-SLZ/2023-09-11/2023-09-18/,694.51,1.0,2023,9,MAD,694.63,784.732,844.8,2023-03-20 02:41:21,True,-0.12000000000000455,-0.017275384017391208
Salt Lake City,Estados Unidos,1104,752.62,British Airways,SLC,2023-04-17,2023-04-24,http://kayak.com/flights/MAD-SLC/2023-04-17/2023-04-24/,752.62,1.0,2023,4,MAD,752.75,883.841875,866.93,2023-03-20 02:41:21,True,-0.12999999999999545,-0.017270009963466684
Luxor,Egito,980,465.82,Várias companhias aéreas,LXR,2023-06-22,2023-06-27,http://kayak.com/flights/MAD-LXR/2023-06-22/2023-06-27/,465.82,1.0,2023,6,MAD,465.9,516.0983333333334,530.48,2023-03-20 02:41:21,True,-0.07999999999998408,-0.017171066752518584
