City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Trapani,Itália,1090,118.1,Várias companhias aéreas,TPS,2023-04-18,2023-04-25,http://kayak.com/flights/OPO-TPS/2023-04-18/2023-04-25/,118.1,1.0,2023,4,OPO,118.12,149.03588235294117,142.61,2023-03-20 02:40:41,True,-0.020000000000010232,-0.016931933626828845
Girona,Espanha,670,177.15,Ryanair,GRO,2023-09-18,2023-09-25,http://kayak.com/flights/OPO-GRO/2023-09-18/2023-09-25/,177.15,1.0,2023,9,OPO,177.18,321.475,321.475,2023-03-20 02:40:41,True,-0.030000000000001137,-0.016931933626820824
Santander,Espanha,615,178.08,Várias companhias aéreas,SDR,2023-09-01,2023-09-05,http://kayak.com/flights/OPO-SDR/2023-09-01/2023-09-05/,178.08,1.0,2023,9,OPO,178.11,178.11,178.11,2023-03-20 02:40:41,True,-0.030000000000001137,-0.016843523665151388
Pafos,Chipre,715,178.08,Ryanair,PFO,2023-09-12,2023-09-19,http://kayak.com/flights/OPO-PFO/2023-09-12/2023-09-19/,178.08,1.0,2023,9,OPO,178.11,270.1785,230.74,2023-03-20 02:40:41,True,-0.030000000000001137,-0.016843523665151388
Calgary,Canadá,1779,718.88,Várias companhias aéreas,YYC,2023-04-17,2023-04-24,http://kayak.com/flights/OPO-YYC/2023-04-17/2023-04-24/,718.88,1.0,2023,4,OPO,719.0,801.4775,801.02,2023-03-20 02:40:41,True,-0.12000000000000455,-0.01668984700973638
Córdova,Argentina,1872,1262.49,Várias companhias aéreas,COR,2023-04-14,2023-04-21,http://kayak.com/flights/OPO-COR/2023-04-14/2023-04-21/,1262.49,1.0,2023,4,OPO,1262.7,1314.0525,1277.05,2023-03-20 02:40:41,True,-0.21000000000003638,-0.016631028747924
León,Espanha,825,360.85,Várias companhias aéreas,LEN,2023-03-27,2023-03-31,http://kayak.com/flights/OPO-LEN/2023-03-27/2023-03-31/,360.85,1.0,2023,3,OPO,360.91,360.91,360.91,2023-03-20 02:40:41,True,-0.060000000000002274,-0.016624643262863947
Dakar,Senegal,560,722.63,Iberia,DSS,2023-12-27,2024-01-02,http://kayak.com/flights/OPO-DSS/2023-12-27/2024-01-02/,722.63,1.0,2023,12,OPO,722.75,722.75,722.75,2023-03-20 02:40:41,True,-0.12000000000000455,-0.016603251470080186
Sinop,Brasil,2045,1266.24,Várias companhias aéreas,OPS,2023-04-17,2023-04-24,http://kayak.com/flights/OPO-OPS/2023-04-17/2023-04-24/,1266.24,1.0,2023,4,OPO,1266.45,1266.45,1266.45,2023-03-20 02:40:41,True,-0.21000000000003638,-0.01658178372616656
Cardiff,Reino Unido,1550,362.72,Várias companhias aéreas,CWL,2023-06-04,2023-06-11,http://kayak.com/flights/OPO-CWL/2023-06-04/2023-06-11/,362.72,1.0,2023,6,OPO,362.78,362.78,362.78,2023-03-20 02:40:41,True,-0.05999999999994543,-0.016538949225410837
San Juan,Porto Rico,1085,907.27,Várias companhias aéreas,SJU,2023-04-29,2023-05-05,http://kayak.com/flights/OPO-SJU/2023-04-29/2023-05-05/,907.27,1.0,2023,4,OPO,907.42,907.42,907.42,2023-03-20 02:40:41,True,-0.14999999999997726,-0.016530382843664156
Cidade do Kansas,Estados Unidos,1309,727.32,KLM,MCI,2023-04-11,2023-04-17,http://kayak.com/flights/OPO-MCI/2023-04-11/2023-04-17/,727.32,1.0,2023,4,OPO,727.44,727.44,727.44,2023-03-20 02:40:41,True,-0.12000000000000455,-0.016496205872649914
Ushuaia,Argentina,2630,1157.52,Várias companhias aéreas,USH,2023-05-06,2023-05-13,http://kayak.com/flights/OPO-USH/2023-05-06/2023-05-13/,1157.52,1.0,2023,5,OPO,1157.71,1157.71,1157.71,2023-03-20 02:40:41,True,-0.19000000000005457,-0.016411709322719382
Hurghada,Egito,1115,548.3,Várias companhias aéreas,HRG,2023-07-01,2023-07-07,http://kayak.com/flights/OPO-HRG/2023-07-01/2023-07-07/,548.3,1.0,2023,7,OPO,548.39,679.9358333333333,709.19,2023-03-20 02:40:41,True,-0.09000000000003183,-0.01641167782053499
Bay City,Estados Unidos,1564,853.85,KLM,MBS,2023-04-12,2023-04-19,http://kayak.com/flights/OPO-MBS/2023-04-12/2023-04-19/,853.85,1.0,2023,4,OPO,853.99,883.81,883.81,2023-03-20 02:40:41,True,-0.13999999999998636,-0.016393634585883485
Saint Thomas Island,Ilhas Virgens Americanas,2445,1221.25,United Airlines,STT,2023-03-24,2023-03-31,http://kayak.com/flights/OPO-STT/2023-03-24/2023-03-31/,1221.25,1.0,2023,3,OPO,1221.45,1221.45,1221.45,2023-03-20 02:40:41,True,-0.20000000000004547,-0.01637398174301408
Houston,Estados Unidos,1610,672.02,Várias companhias aéreas,IAH,2023-10-24,2023-10-29,http://kayak.com/flights/OPO-IAH/2023-10-24/2023-10-29/,672.02,1.0,2023,10,OPO,672.13,672.13,672.13,2023-03-20 02:40:41,True,-0.11000000000001364,-0.016365881600287686
Saraievo,Bósnia-Herzegóvina,605,305.55,Várias companhias aéreas,SJJ,2023-05-08,2023-05-15,http://kayak.com/flights/OPO-SJJ/2023-05-08/2023-05-15/,305.55,1.0,2023,5,OPO,305.6,322.81,325.89,2023-03-20 02:40:41,True,-0.05000000000001137,-0.016361256544506337
Caiena,Guiana Francesa,1865,978.5,Várias companhias aéreas,CAY,2023-10-01,2023-10-05,http://kayak.com/flights/OPO-CAY/2023-10-01/2023-10-05/,978.5,1.0,2023,10,OPO,978.66,978.66,978.66,2023-03-20 02:40:41,True,-0.15999999999996817,-0.016348885210386466
Goiânia,Brasil,2110,1040.36,Várias companhias aéreas,GYN,2023-09-11,2023-09-18,http://kayak.com/flights/OPO-GYN/2023-09-11/2023-09-18/,1040.36,1.0,2023,9,OPO,1040.53,1040.53,1040.53,2023-03-20 02:40:41,True,-0.17000000000007276,-0.01633782783774353
Bogotá,Colômbia,780,795.74,Air Europa,BOG,2023-11-03,2023-11-10,http://kayak.com/flights/OPO-BOG/2023-11-03/2023-11-10/,795.74,1.0,2023,11,OPO,795.87,808.358,811.59,2023-03-20 02:40:41,True,-0.12999999999999545,-0.016334325957756347
Angeles City,Filipinas,2920,1656.14,Qatar Airways,CRK,2023-07-01,2023-07-08,http://kayak.com/flights/OPO-CRK/2023-07-01/2023-07-08/,1656.14,1.0,2023,7,OPO,1656.41,1656.41,1656.41,2023-03-20 02:40:41,True,-0.2699999999999818,-0.01630031212079025
Port Louis,Maurícia,1480,860.41,Várias companhias aéreas,MRU,2023-04-26,2023-05-03,http://kayak.com/flights/OPO-MRU/2023-04-26/2023-05-03/,860.41,1.0,2023,4,OPO,860.55,1222.3548648648648,1246.01,2023-03-20 02:40:41,True,-0.13999999999998636,-0.0162686653884128
Kobe,Japão,1905,1537.11,ANA,UKB,2023-04-16,2023-04-21,http://kayak.com/flights/OPO-UKB/2023-04-16/2023-04-21/,1537.11,1.0,2023,4,OPO,1537.36,1844.0876923076924,1894.33,2023-03-20 02:40:41,True,-0.25,-0.01626164333662903
