City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Halifax,Canadá,2690,486.01,Várias companhias aéreas,YHZ,2023-09-11,2023-09-17,http://kayak.com/flights/LIS-YHZ/2023-09-11/2023-09-17/,486.01,1.0,2023,9,LIS,488.32,496.35823529411766,500.33,2023-03-21 02:29:05,True,-2.3100000000000023,-0.4730504587155968
Nairobi,Quénia,1910,568.1,Turkish Airlines,NBO,2023-04-29,2023-05-03,http://kayak.com/flights/LIS-NBO/2023-04-29/2023-05-03/,568.1,1.0,2023,4,LIS,570.8,773.8178571428571,736.185,2023-03-21 02:29:05,True,-2.699999999999932,-0.47302032235457814
Kutaisi,Geórgia,1760,254.67,Várias companhias aéreas,KUT,2023-06-02,2023-06-06,http://kayak.com/flights/LIS-KUT/2023-06-02/2023-06-06/,254.67,1.0,2023,6,LIS,255.88,255.89333333333332,255.88,2023-03-21 02:29:05,True,-1.210000000000008,-0.47287791152102865
Dammam,Arábia Saudita,1670,492.54,Várias companhias aéreas,DMM,2023-07-25,2023-07-30,http://kayak.com/flights/LIS-DMM/2023-07-25/2023-07-30/,492.54,1.0,2023,7,LIS,494.88,494.9066666666667,494.88,2023-03-21 02:29:05,True,-2.339999999999975,-0.47284190106692026
Brive-la-Gaillarde,França,905,237.88,Várias companhias aéreas,BVE,2023-05-26,2023-05-30,http://kayak.com/flights/LIS-BVE/2023-05-26/2023-05-30/,237.88,1.0,2023,5,LIS,239.01,239.01999999999998,239.01,2023-03-21 02:29:05,True,-1.1299999999999955,-0.47278356554118883
Lublin,Polónia,1620,237.88,Várias companhias aéreas,LUZ,2023-07-31,2023-08-07,http://kayak.com/flights/LIS-LUZ/2023-07-31/2023-08-07/,237.88,1.0,2023,7,LIS,239.01,239.01,239.01,2023-03-21 02:29:05,True,-1.1299999999999955,-0.47278356554118883
Essaouira,Marrocos,1585,294.78,Várias companhias aéreas,ESU,2023-04-02,2023-04-06,http://kayak.com/flights/LIS-ESU/2023-04-02/2023-04-06/,294.78,1.0,2023,4,LIS,296.18,502.0870000000001,552.7,2023-03-21 02:29:05,True,-1.400000000000034,-0.4726855290701716
Bydgoszcz,Polónia,1175,221.09,Várias companhias aéreas,BZG,2023-04-26,2023-04-30,http://kayak.com/flights/LIS-BZG/2023-04-26/2023-04-30/,221.09,1.0,2023,4,LIS,222.14,281.88,294.22,2023-03-21 02:29:05,True,-1.049999999999983,-0.4726748897091847
Acra,Gana,980,629.67,Royal Air Maroc,ACC,2023-09-21,2023-09-26,http://kayak.com/flights/LIS-ACC/2023-09-21/2023-09-26/,629.67,1.0,2023,9,LIS,632.66,689.1275,707.95,2023-03-21 02:29:05,True,-2.990000000000009,-0.47260771978630056
Key West,Estados Unidos,1743,482.28,American Airlines,EYW,2023-05-17,2023-05-23,http://kayak.com/flights/LIS-EYW/2023-05-17/2023-05-23/,482.28,1.0,2023,5,LIS,484.57,484.57,484.57,2023-03-21 02:29:05,True,-2.2900000000000205,-0.47258394040077195
